GCP_ID,Easting,Northing,Ellipsoidh
GCP_01,389558.063000000023749,5677862.634999999776483,154.247999999999990
GCP_02,389523.891000000003260,5677867.752999999560416,153.403999999999996
GCP_03,389497.195000000006985,5677906.308000000193715,161.652999999999992
GCP_04,389537.208999999973457,5677934.657999999821186,168.931000000000012
GCP_05,389563.228000000002794,5677943.974000000394881,177.198000000000008
GCP_06,389497.038999999989755,5677937.071000000461936,173.966000000000008
GCP_07,389563.229999999981374,5677916.647999999113381,172.998999999999995
GCP_08,389594.962999999988824,5677880.929999999701977,162.842999999999989
GCP_09,389627.487000000022817,5677909.313000000081956,177.465000000000003
GCP_10,389637.717999999993481,5677947.173000000417233,185.578000000000003
